Date,Open,High,Low,Close,Adj Close,Volume
2015-07-15,387.001221,392.515045,386.676147,387.880310,387.880310,37300312
2015-07-16,388.169342,395.145905,371.343750,375.187531,375.187531,66760119
2015-07-17,375.190247,380.040680,367.476685,379.305084,379.305084,37447611
2015-07-18,379.113739,383.451416,371.980194,373.101257,373.101257,34184446
2015-07-19,372.919373,374.144958,369.860199,371.404938,371.404938,20812407
2015-07-20,371.248810,378.484589,370.718445,378.484589,378.484589,30811830
2015-07-21,378.350281,381.696594,371.284729,371.692505,371.692505,30899744
2015-07-22,371.455353,377.007446,371.086029,376.047180,376.047180,26301953
2015-07-23,376.208618,377.150787,374.308990,375.270538,375.270538,25192088
2015-07-24,375.210724,397.052826,374.750153,396.258453,396.258453,51133196
2015-07-25,396.101715,399.632996,393.129913,396.834351,396.834351,28401649
2015-07-26,396.756042,402.820618,395.472168,402.483490,402.483490,22046617
2015-07-27,402.418884,408.301086,394.307281,403.662354,403.662354,42056640
2015-07-28,403.674713,407.372955,401.564270,400.689972,400.689972,34640174
2015-07-29,400.767578,401.002045,394.719818,397.024933,397.024933,33825884
2015-07-30,396.357269,396.672150,393.097382,394.463928,394.463928,29662462
2015-07-31,394.428314,395.834259,387.941742,389.824707,389.824707,32359764
2015-08-01,389.874023,390.210907,380.871002,385.649170,385.649170,26013421
2015-08-02,384.071503,387.343658,380.072571,387.407837,387.407837,24293626
2015-08-03,387.671021,391.915161,383.828247,386.672607,386.672607,29525780
2015-08-04,386.669891,386.990387,386.935883,386.893646,386.893646,29718801
2015-08-05,386.390381,387.540405,382.196899,383.669495,383.669495,27396216
2015-08-06,383.702209,383.702209,379.140686,379.377625,379.377625,25591856
2015-08-07,379.600983,378.754547,375.191406,377.002411,377.002411,57288026
2015-08-08,377.214142,377.464966,351.550690,351.937714,351.937714,78927994
2015-08-09,352.098175,360.036407,351.224365,358.414032,358.414032,32165495
2015-08-10,358.948090,362.519714,356.642670,356.909576,356.909576,28312281
2015-08-11,356.736847,369.682770,360.784149,369.682770,369.682770,34774269
2015-08-12,369.972656,373.187653,361.034943,360.992004,360.992004,36340154
2015-08-13,360.730469,360.650238,358.289276,358.123108,358.123108,37544752
2015-08-14,358.193634,362.862579,355.510529,360.537384,360.537384,36763740
2015-08-15,360.332458,361.876770,354.588135,354.934174,354.934174,26219433
2015-08-16,355.361633,356.140594,348.813934,350.898590,350.898590,40337994
2015-08-17,350.875519,353.227112,349.391235,349.987793,349.987793,29328314
2015-08-18,349.919952,350.296021,287.691162,287.691162,287.691162,57444732
2015-08-19,307.579407,323.401428,303.165497,308.329712,308.329712,82792709
2015-08-20,308.622131,325.202087,308.412384,320.990173,320.990173,44019367
2015-08-21,320.996979,323.171143,315.700256,317.760620,317.760620,31662522
2015-08-22,317.887695,321.023376,304.282013,314.783447,314.783447,31706381
2015-08-23,314.764313,317.946442,308.211517,314.672455,314.672455,25384912
2015-08-24,314.593842,314.587708,293.668701,293.454620,293.454620,82560574
2015-08-25,292.859314,316.754364,277.716400,312.169312,312.169312,86053247
2015-08-26,312.827179,324.923401,308.625092,317.267487,317.267487,44686710
2015-08-27,317.575165,319.378418,311.885132,313.310547,313.310547,30534430
2015-08-28,313.215790,328.518158,306.884277,322.683014,322.683014,43699066
2015-08-29,322.896393,325.229401,317.012970,320.429504,320.429504,23905313
2015-08-30,320.589874,323.620117,315.546722,320.528229,320.528229,27199944
2015-08-31,321.022827,325.872437,317.207245,323.657837,323.657837,29137169
2015-09-01,323.939209,325.472992,320.514282,325.468689,325.468689,29355400
2015-09-02,325.334564,327.570679,322.246735,325.548767,325.548767,26636944
2015-09-03,325.605560,326.932922,323.394226,323.622498,323.622498,24903134
2015-09-04,323.668091,334.395355,324.312225,333.523529,333.523529,30358291
2015-09-05,333.380157,341.988434,332.285278,340.360596,340.360596,29936857
2015-09-06,340.144806,351.791473,339.871094,345.939697,345.939697,36742680
2015-09-07,346.075287,348.956482,344.724915,345.352051,345.352051,30514327
2015-09-08,345.350616,352.273193,345.059021,346.327820,346.327820,38213250
2015-09-09,346.054871,346.787750,337.717987,342.342957,342.342957,33973983
2015-09-10,342.584442,341.823212,336.171936,337.212952,337.212952,29999293
2015-09-11,337.003662,342.326477,337.337585,338.655853,338.655853,27115233
2015-09-12,338.300415,338.679810,331.105774,331.775757,331.775757,25335120
2015-09-13,331.794067,332.771515,323.778076,324.847778,324.847778,26041150
2015-09-14,324.984497,325.683075,320.169952,322.173492,322.173492,29330633
2015-09-15,321.961182,362.796753,322.240601,323.324432,323.324432,26923768
2015-09-16,323.248627,323.875885,317.911346,318.270355,318.270355,27985829
2015-09-17,318.249512,320.062561,318.306458,319.757904,319.757904,26346737
2015-09-18,324.921387,323.156372,319.946259,324.161682,324.161682,28165020
2015-09-19,323.998901,324.481720,321.537506,322.099609,322.099609,17688326
2015-09-20,321.968842,323.312927,321.288452,321.619141,321.619141,20092781
2015-09-21,321.626099,321.402557,317.834991,318.715790,318.715790,27619368
2015-09-22,318.552979,326.843872,315.157501,326.054016,326.054016,35358829
2015-09-23,326.503601,329.920319,325.892120,329.210876,329.210876,24666333
2015-09-24,329.318085,336.689545,328.664185,334.658966,334.658966,35813071
2015-09-25,334.420654,339.229889,333.691284,334.915253,334.915253,31852443
2015-09-26,334.818420,335.284149,332.371460,333.770111,333.770111,19547215
2015-09-27,333.483856,334.035034,330.973816,331.704437,331.704437,20207924
2015-09-28,331.817017,343.236786,331.338348,343.101868,343.101868,35456241
2015-09-29,342.921112,344.592621,337.136322,337.882935,337.882935,32393005
2015-09-30,337.815857,339.183899,335.319489,336.891663,336.891663,28176823
2015-10-01,336.811768,339.085632,333.167419,337.571411,337.571411,29115816
2015-10-02,337.166412,339.656830,335.988342,336.920349,336.920349,27939656
2015-10-03,336.791138,339.791290,336.424805,338.960663,338.960663,23402953
2015-10-04,338.678131,339.298584,337.407837,338.243896,338.243896,18454003
2015-10-05,338.084900,339.380188,334.322998,339.380188,339.380188,32946350
2015-10-06,339.353394,345.556946,339.606842,343.855499,343.855499,38478340
